member,memberKind,populationCount,populations,ownedByActionId,actionIsHeld
2971|questions|561|799,occurrenceKey,2,BOUNDARY_CROSSING_242 + DUPLICATE_KEYS_148,A-DUP-2971-questions-561-799,true
4454|questions|238|404,occurrenceKey,2,BOUNDARY_CROSSING_242 + DUPLICATE_KEYS_148,A-DUP-4454-questions-238-404,true
p0099-s023,sentenceId,2,CONTEXT_COLLISION_108 + NESTED_OVERLAP,A-CTX-p0099-s023-342,false
p3256-s001,sentenceId,2,CONTEXT_COLLISION_108 + NESTED_OVERLAP,A-CTX-p3256-s001-63,false
p4310-s015,sentenceId,2,SAME_CATEGORY_PARTIAL_OVERLAP + SOURCE_BOUNDARY_3,A-SB-4310,false
p4521-s003,sentenceId,2,NESTED_OVERLAP + SAME_CATEGORY_PARTIAL_OVERLAP,"(none — held, no action)",
