heldKey,reason,postNum,detail,alsoDuplicateKey
1915|claims|147|494,BOUNDARY_CROSSING,1915,touches 3 sentences,false
1927|claims|2154|2399,BOUNDARY_CROSSING,1927,touches 3 sentences,false
1927|claims|1024|1887,BOUNDARY_CROSSING,1927,touches 3 sentences,false
1935|claims|226|514,BOUNDARY_CROSSING,1935,touches 2 sentences,false
1939|claims|330|659,BOUNDARY_CROSSING,1939,touches 3 sentences,false
1939|claims|660|952,BOUNDARY_CROSSING,1939,touches 3 sentences,false
1939|claims|953|1153,BOUNDARY_CROSSING,1939,touches 3 sentences,false
1945|claims|284|521,BOUNDARY_CROSSING,1945,touches 3 sentences,false
1945|claims|522|819,BOUNDARY_CROSSING,1945,touches 3 sentences,false
1945|claims|820|1179,BOUNDARY_CROSSING,1945,touches 3 sentences,false
1945|claims|1180|1525,BOUNDARY_CROSSING,1945,touches 3 sentences,false
1947|claims|869|1092,BOUNDARY_CROSSING,1947,touches 2 sentences,false
1950|claims|230|402,BOUNDARY_CROSSING,1950,touches 2 sentences,false
1982|claims|0|259,BOUNDARY_CROSSING,1982,touches 2 sentences,false
1988|claims|71|146,BOUNDARY_CROSSING,1988,touches 2 sentences,false
1992|claims|0|184,BOUNDARY_CROSSING,1992,touches 2 sentences,false
1997|claims|0|268,BOUNDARY_CROSSING,1997,touches 2 sentences,false
2003|emphasis|0|9,BOUNDARY_CROSSING,2003,touches 0 sentences,false
2029|claims|819|1112,BOUNDARY_CROSSING,2029,touches 3 sentences,false
2029|claims|1113|1483,BOUNDARY_CROSSING,2029,touches 3 sentences,false
2032|claims|335|439,BOUNDARY_CROSSING,2032,touches 2 sentences,false
2061|claims|10|70,BOUNDARY_CROSSING,2061,touches 2 sentences,false
2061|claims|71|127,BOUNDARY_CROSSING,2061,touches 2 sentences,false
21|claims|0|194,BOUNDARY_CROSSING,21,touches 2 sentences,false
2107|claims|856|931,BOUNDARY_CROSSING,2107,touches 2 sentences,false
2135|claims|129|413,BOUNDARY_CROSSING,2135,touches 2 sentences,false
2136|claims|0|234,BOUNDARY_CROSSING,2136,touches 3 sentences,false
2136|claims|934|1196,BOUNDARY_CROSSING,2136,touches 3 sentences,false
2165|claims|629|889,BOUNDARY_CROSSING,2165,touches 3 sentences,false
2171|claims|2052|2292,BOUNDARY_CROSSING,2171,touches 2 sentences,false
2177|claims|168|578,BOUNDARY_CROSSING,2177,touches 5 sentences,false
2180|claims|1242|1292,BOUNDARY_CROSSING,2180,touches 2 sentences,false
23|claims|501|581,BOUNDARY_CROSSING,23,touches 2 sentences,false
2319|claims|0|200,BOUNDARY_CROSSING,2319,touches 2 sentences,false
2331|claims|61|355,BOUNDARY_CROSSING,2331,touches 3 sentences,false
2351|directives|19|87,BOUNDARY_CROSSING,2351,touches 2 sentences,false
2352|claims|98|187,BOUNDARY_CROSSING,2352,touches 2 sentences,false
2373|claims|0|289,BOUNDARY_CROSSING,2373,touches 3 sentences,false
2377|claims|0|232,BOUNDARY_CROSSING,2377,touches 2 sentences,false
2378|directives|803|871,BOUNDARY_CROSSING,2378,touches 2 sentences,false
2382|directives|90|234,BOUNDARY_CROSSING,2382,touches 3 sentences,false
2386|claims|492|827,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|828|1167,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|1168|1522,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|1768|2083,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|2084|2344,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|2345|2656,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|3276|3662,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2386|claims|3987|4338,BOUNDARY_CROSSING,2386,touches 3 sentences,false
2395|directives|99|181,BOUNDARY_CROSSING,2395,touches 2 sentences,false
2399|claims|26|214,BOUNDARY_CROSSING,2399,touches 2 sentences,false
24|claims|0|259,BOUNDARY_CROSSING,24,touches 3 sentences,false
2425|emphasis|0|17,BOUNDARY_CROSSING,2425,touches 3 sentences,false
2445|claims|222|326,BOUNDARY_CROSSING,2445,touches 2 sentences,false
2445|claims|350|422,BOUNDARY_CROSSING,2445,touches 2 sentences,false
246|context|0|5,BOUNDARY_CROSSING,246,touches 0 sentences,false
25|claims|24|229,BOUNDARY_CROSSING,25,touches 3 sentences,false
25|claims|232|355,BOUNDARY_CROSSING,25,touches 4 sentences,false
2500|directives|118|336,BOUNDARY_CROSSING,2500,touches 2 sentences,false
2523|claims|0|305,BOUNDARY_CROSSING,2523,touches 3 sentences,false
