stableOccurrenceId,postNum,storedPhrase,sentenceText,directiveSegments,religiousSegment,themes,proposedDestination,authorshipState,sourceType,alsoQuotedInPayload,action,proposedRuling,status,blockedBy,reason
"473#0","473","Fight, fight, fight!","Fight, fight, fight!","Fight, fight, fight!","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"473#1","473","God bless each and every one of you.","God bless each and every one of you.","God bless each and every one of you.","","","RELIGION_THEME_ONLY","Q_AUTHORED_CURRENT_POST","Q_BODY","false","REMOVE_FROM_DIRECTIVES","REMOVE_BLESSING_OR_VALEDICTION","READY","","blessing or valediction, not a command"
"4734#0","4734","Focus on content [information].","Focus on content [information].","Focus on content [information].","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4734#1","4734","Research for yourself.","Research for yourself.","Research for yourself.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4734#2","4734","Deploy camouflage.","Deploy camouflage.","Deploy camouflage.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4734#3","4734","Drop all references re: 'Q' 'Qanon' etc. to avoid ban/termination _censorship install.","Drop all references re: 'Q' 'Qanon' etc. to avoid ban/termination _censorship install.","Drop all references re: 'Q' 'Qanon' etc. to avoid ban/termination _censorship install.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4734#4","4734","Keep charging, Midnight Riders!","Keep charging, Midnight Riders!","Keep charging, Midnight Riders!","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4739#0","4739","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","","","","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","false","REMOVE_FROM_DIRECTIVES","REMOVE_PRAYER_TEXT","READY","","reproduced prayer text"
"4739#1","4739","Give me your wisdom and discernment so I won't be caught off guard.","Give me your wisdom and discernment so I won't be caught off guard.","Give me your wisdom and discernment so I won't be caught off guard.","","","","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","false","REMOVE_FROM_DIRECTIVES","REMOVE_PRAYER_TEXT","READY","","reproduced prayer text"
"4746#0","4746","Have faith in Humanity.","Have faith in Humanity.","have faith","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"4746#1","4746","Let the truth be told.","Let the truth be told.","Let the truth be told.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"475#0","475","NO comms w/ anyone privately.","NO comms w/ anyone privately.","NO comms w/ anyone privately.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"475#1","475","NO comms outside of this platform.","NO comms outside of this platform.","NO comms outside of this platform.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4756#0","4756","Make your depth 50ft.","Make your depth 50ft.","Make your depth 50ft.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4759#0","4759","Never forget those in the background.","Never forget those in the background.","Never forget those in the background.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
